Device,Model,Type,IOS,BMN
al_router_01.1macu.remote.hms.cdw.com,C1111-4P,router,ARMV8EB_LINUX_IOSD-UNIVERSALK9_IAS-M16.6.3,1MACU
al_switch_01.1macu.remote.hms.cdw.com,WS-C3560V2-48PS,switch,C3560-IPBASEK9-M12.2(55)SE12,1MACU
beasertr1.1macu.remote.hms.cdw.com,ISR4431/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.3.6,1MACU
aclu-dh-mpls01.aclu.remote.hms.cdw.com,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.4(3)M,ACLU
aclu-dc-dmvpn01.aclu.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.3(3)M,ACLU
aclu-sf-gw01.aclu.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.4(3)M4,ACLU
aclu-dh-gw01.aclu.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.5(3)M6a,ACLU
aclu-sf-exs-01.aclu.remote.hms.cdw.com,WS-C2960CG-8TC-L,switch,C2960c405ex-UNIVERSALK9-M15.2(2a)E1,ACLU
aclu-sf-sw01.aclu.remote.hms.cdw.com,WS-C2960X-24PS-L,switch,C2960X-UNIVERSALK9-M15.0(2)EX4,ACLU
aclu-dh-cr01.aclu.remote.hms.cdw.com,WS-C3560X-24P,switch,C3560E-UNIVERSALK9-M15.0(2)SE4,ACLU
aclu-dc-cr01.aclu.remote.hms.cdw.com,WS-C3750X-48,router,C3750E-UNIVERSALK9-M15.0(2)SE8,ACLU
aclu-ny-5-sw01.aclu.remote.hms.cdw.com,WS-C3650-48PS,router,CAT3K_CAA-UNIVERSALK9-M16.3.5b,ACLU
dc-cr-01.aclu.remote.hms.cdw.com,C9300-48UXM,router,CAT9K_IOSXE16.9.3,ACLU
aclu-dc-vgw01-b.aclu.remote.hms.cdw.com,ISR4331/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.6.2,ACLU
grb-cahvsg01.amfam.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.7(3)M6,AMFAM
